ID,PlantHeight
PI655974,1.71
PI655975,0.79
PI655976,0.77
PI655979,0.78
PI655981,1.66
PI655986,0.8500000000000001
PI655987,0.81
PI655992,0.94
PI655993,0.775
PI655994,2.365
PI655995,1.945
PI655997,1.07
PI655998,0.6
PI655999,1.62
PI656000,0.815
PI656001,0.965
PI656002,0.745
PI656003,1.515
PI656004,0.8
PI656005,0.675
PI656006,0.79
PI656007,0.86
PI656008,1.485
PI656009,1.0
PI656010,0.74
PI656011,1.25
PI656012,1.205
PI656013,2.145
PI656014,1.405
PI656016,0.7949999999999999
PI656017,1.18
PI656018,0.9
PI656019,0.825
PI656020,0.755
PI656022,1.02
PI656024,1.5950000000000002
PI656025,1.32
PI656026,1.25
PI656027,1.34
PI656028,2.8049999999999997
PI656030,1.01
PI656031,1.16
PI656032,2.3600000000000003
PI656034,1.165
PI656035,2.65
PI656036,1.745
PI656037,1.54
PI656040,1.18
PI656041,1.13
PI656042,0.6499999999999999
PI656043,0.92
PI656044,1.35
PI656048,1.23
PI656050,2.58
PI656051,1.2999999999999998
PI656052,0.7749999999999999
PI656053,0.865
PI656055,0.795
PI656056,1.1949999999999998
PI656057,1.275
PI656058,0.925
PI656059,0.975
PI656060,0.92
PI656061,1.03
PI656062,1.21
PI656063,0.61
PI656068,0.8
PI656069,0.6950000000000001
PI656070,0.8300000000000001
PI656071,1.385
PI656072,1.1
PI656074,3.0
PI656076,0.81
PI656077,1.35
PI656078,0.775
PI656079,0.95
PI656080,1.245
PI656082,0.81
PI656083,1.605
PI656084,1.145
PI656085,0.6499999999999999
PI656087,0.945
PI656089,1.775
PI656090,1.66
PI656091,0.71
PI656092,0.675
PI656093,1.38
PI656094,1.33
PI656095,1.31
PI656096,1.42
PI656097,1.6
PI656098,2.035
PI656100,0.76
PI656101,1.83
PI656102,1.61
PI656103,1.1
PI656106,1.07
PI656107,1.485
PI656108,0.98
PI656109,0.59
PI656110,0.545
PI656112,0.8
PI656113,0.97
PI656114,0.7150000000000001
PI656115,1.23
PI656116,0.925
PI656118,0.995
PI656119,1.23
PI659691,1.225
PI659694,1.15
PI659695,0.905
PI659696,1.3050000000000002
PI659753,1.495
RTAM2566,0.605
RTX2737,0.835
RTx2917,0.69
SC0003,0.64
SC0027,0.955
SC0041,1.105
SC0092,1.14
SC0138,0.97
SC0150,0.875
SC0156,1.675
SC0159,1.78
SC0178,0.6699999999999999
SC0179,0.885
SC0191,1.0750000000000002
SC0235,1.1
SC0236,1.4449999999999998
SC0247,0.66
SC0249,1.2
SC0263,1.515
SC0276,1.0499999999999998
SC0287,0.665
SC0297,1.115
SC0314,1.12
SC0371,1.2
SC0412,0.845
SC0436,0.675
SC0438,0.63
SC0445,1.0950000000000002
SC0448,1.635
SC0456,0.905
SC0458,0.61
SC0479,0.68
SC0505,0.7350000000000001
SC0517,1.06
SC0521,0.965
SC0540,1.19
SC0542,0.78
SC0547,1.41
SC0550,1.105
SC0551,0.8400000000000001
SC0556,0.5800000000000001
SC0581,1.85
SC0582,1.295
SC0604,1.22
SC0615,1.23
SC0631,0.905
SC0636,0.725
SC0640,0.865
SC0652,0.625
SC0685,0.76
SC0713,0.745
SC0741,1.455
SC0753,0.52
SC0759,0.895
SC0777,0.885
SC0823,0.575
SC0834,1.415
SC0837,0.685
SC0847,1.28
SC0854,1.905
SC0858,0.99
