ID,DaysToFlower
PI576393,60.650898550429
PI533774,62.3976699967869
PI534081,64.7707468184163
PI533928,69.7665405117141
PI534047,52.7582325888327
PI534071,61.4688918508029
PI533992,69.5404629420571
PI533874,62.5891141218687
PI533944,68.2387779399076
PI597958,67.2174724431947
SC1133,60.6075056321663
PI533888,69.8944682594619
PI533763,54.690050552523
PI533969,72.7522991797675
PI534032,70.921617532514
PI656053,70.5964449737096
FeteritaGishesh,55.1160214270993
PI533779,57.3446159143519
PI533900,61.7000169401986
SC0556,62.5957843257909
PI534073,57.2873868673539
SanChiSan,61.9171095605531
PI533837,66.6160730591977
PI533795,66.5629453751939
PI656003,73.2200627090887
PI533781,60.9779165899742
SC0868,66.0274598064445
PI533983,72.329287007681
PI533994,68.9101123455003
PI595743,75.4767034509822
PI533930,67.5102563569183
PI533931,72.519543820302
PI533980,74.2048520800883
PI576353,64.2805929870437
PI533880,62.1701926037388
PI534141,69.7783376663279
PI533861,75.8258025618599
PI534109,67.6464826313912
PI595739,68.5714880168452
PI533778,59.7406287323167
PI597944,66.2406018386359
PI534105,65.4314103971494
PI533960,61.8428379052733
SC0713,59.4111974233849
SC0777,66.0776419292539
PI534157,71.0178949963524
PI534048,77.8111924858933
PI534051,70.8752587381414
PI533984,63.5274369348346
PI656087,59.1443354581268
PI533956,64.4471234617201
PI533811,64.0038424975619
PI595716,60.2655905560562
PI576371,62.52714952184
SC1166,68.362095599677
PI534020,78.3775660243242
PI656011,74.9243271026285
PI655970,77.0826575191153
PI533904,66.0007204957432
PI533772,59.3317723441901
PI534139,
PI534166,57.5527802109496
PI595748,76.2316973796653
PI597980,60.5621929100832
SC0236,68.7224387975667
PI533792,61.4750827866483
PI595711,72.0833967811548
PI534055,64.9254304965966
PI656022,63.4082536781544
PI576408,64.1314293154433
SC0138,62.1174475249818
PI534005,66.4805006591671
SC1097,72.3345126859763
SC1021,68.1698530633432
PI576365,69.5731017199743
PI595726,67.3351038906989
PI534084,58.7916280302358
PI534113,70.2280991031897
PI576395,62.7547455584634
PI533757,67.1534936319158
PI533773,64.3380630285703
PI576416,57.5859580246703
PI534040,63.1903577351926
SC0999,72.0936323202544
PI656001,79.7641993916332
PI533835,68.8720148078415
PI534154,75.5011690135474
PI576339,63.4974873846982
PI656097,82.0544945652872
PI656058,69.1873441659276
PI534101,67.1344273676281
PI534000,66.5146190742831
PI533920,
PI576404,58.4029372717179
PI534118,71.9320126365209
PI533965,67.484687625989
PI534112,67.5616055431089
PI533909,62.6465788015065
PI656091,78.499268957654
PI534120,76.1297333735901
PI534153,59.8821774054292
SC0834,69.3711438356577
PI655993,65.6676066697842
